deporte	liga	local	visita	fecha_hora_evento
Futbol	España / La Liga	Rayo Vallecano	Alaves	2023-09-15T14:00Z
Futbol	España / La Liga	Athletic	Cadiz	2023-09-16T07:00Z
Futbol	España / La Liga	Valencia	Atletico Madrid	2023-09-16T09:15Z
Futbol	España / La Liga	Celta Vigo	Mallorca	2023-09-16T11:30Z
Futbol	España / La Liga	Barcelona	Betis	2023-09-16T14:00Z
Futbol	España / La Liga	Getafe	Osasuna	2023-09-17T07:00Z
Futbol	España / La Liga	Villarreal	Almeria	2023-09-17T09:15Z
Futbol	España / La Liga	Sevilla	Las Palmas	2023-09-17T11:30Z
Futbol	España / La Liga	Real Madrid	Real Sociedad	2023-09-17T14:00Z
Futbol	España / La Liga	Granada	Girona	2023-09-18T14:00Z
Futbol	España / La Liga	Alaves	Athletic	2023-09-22T14:00Z
Futbol	España / La Liga	Girona	Mallorca	2023-09-23T07:00Z
Futbol	España / La Liga	Osasuna	Sevilla	2023-09-23T09:15Z
Futbol	España / La Liga	Barcelona	Celta Vigo	2023-09-23T11:30Z
Futbol	España / La Liga	Almeria	Valencia	2023-09-23T14:00Z
Futbol	España / La Liga	Real Sociedad	Getafe	2023-09-24T07:00Z
Futbol	España / La Liga	Rayo Vallecano	Villarreal	2023-09-24T09:15Z
Futbol	España / La Liga	Las Palmas	Granada	2023-09-24T11:30Z
Futbol	España / La Liga	Betis	Cadiz	2023-09-24T11:30Z
Futbol	España / La Liga	Atletico Madrid	Real Madrid	2023-09-24T14:00Z
Futbol	España / La Liga	Sevilla	Almeria	2023-09-26T12:00Z
Futbol	España / La Liga	Mallorca	Barcelona	2023-09-26T14:30Z
Futbol	España / La Liga	Athletic	Getafe	2023-09-27T12:00Z
Futbol	España / La Liga	Real Madrid	Las Palmas	2023-09-27T12:00Z
Futbol	España / La Liga	Villarreal	Girona	2023-09-27T12:00Z
Futbol	España / La Liga	Cadiz	Rayo Vallecano	2023-09-27T14:30Z
Futbol	España / La Liga	Valencia	Real Sociedad	2023-09-27T14:30Z
Futbol	España / La Liga	Celta Vigo	Alaves	2023-09-28T12:00Z
Futbol	España / La Liga	Granada	Betis	2023-09-28T12:00Z
Futbol	España / La Liga	Osasuna	Atletico Madrid	2023-09-28T14:30Z
Futbol	España / La Liga	Barcelona	Sevilla	2023-09-29T14:00Z
Futbol	España / La Liga	Getafe	Villarreal	2023-09-30T07:00Z
Futbol	España / La Liga	Rayo Vallecano	Mallorca	2023-09-30T09:15Z
Futbol	España / La Liga	Girona	Real Madrid	2023-09-30T11:30Z
Futbol	España / La Liga	Real Sociedad	Athletic	2023-09-30T14:00Z
